Sector,Text
قوات الأمن الخاصة,قوات الأمن الخاصة: واجهت مشكلة ولم أجد مساعدة
قوات أمن المنشآت,قوات أمن المنشآت: كل الشكر للموظف اللي ساعدني اليوم
ديوان الوزارة,ديوان الوزارة: لا أحد يرد على الاستفسارات
الإدارة العامة للمجاهدين,الإدارة العامة للمجاهدين: أحتاج إلى توضيح عن الإجراءات
كلية الملك فهد الأمنية,كلية الملك فهد الأمنية: ذهبت للاستفسار فقط
الخدمات الطبية,الخدمات الطبية: خدمة سيئة جداً وتعامل سيء
الجوازات,الجوازات: الموقع لا يعمل منذ الصباح
حرس الحدود,حرس الحدود: لا أحد يرد على الاستفسارات
الإدارة العامة للمجاهدين,الإدارة العامة للمجاهدين: واجهت مشكلة ولم أجد مساعدة
الأمن العام,الأمن العام: خدمة سيئة جداً وتعامل سيء
مركز العمليات الموحدة,مركز العمليات الموحدة: انتظار طويل دون فائدة
الخدمات الطبية,الخدمات الطبية: ما هي متطلبات إصدار الجواز؟
مركز أبحاث الجريمة,مركز أبحاث الجريمة: خدمة ممتازة وسرعة في الإجراءات
قوات الأمن الخاصة,قوات الأمن الخاصة: الخدمة تحسنت كثيراً مؤخراً
مركز أبحاث الجريمة,مركز أبحاث الجريمة: لا أحد يرد على الاستفسارات
الدفاع المدني,الدفاع المدني: كل الشكر للموظف اللي ساعدني اليوم
مركز العمليات الموحدة,مركز العمليات الموحدة: خدمة سيئة جداً وتعامل سيء
قوات الأمن الخاصة,قوات الأمن الخاصة: خدمة سيئة جداً وتعامل سيء
الأمن العام,الأمن العام: انتظار طويل دون فائدة
الأمن العام,الأمن العام: ما هي متطلبات إصدار الجواز؟
الخدمات الطبية,الخدمات الطبية: ما هي متطلبات إصدار الجواز؟
الأمن العام,الأمن العام: تجربة رائعة أشكر جهودكم
ديوان الوزارة,ديوان الوزارة: ذهبت للاستفسار فقط
مركز المعلومات الوطني,مركز المعلومات الوطني: تجربة رائعة أشكر جهودكم
الجوازات,الجوازات: أحتاج إلى توضيح عن الإجراءات
الأمن العام,الأمن العام: كل الشكر للموظف اللي ساعدني اليوم
الأحوال المدنية,الأحوال المدنية: تجربة رائعة أشكر جهودكم
حرس الحدود,حرس الحدود: كل الشكر للموظف اللي ساعدني اليوم
حرس الحدود,حرس الحدود: كل الشكر للموظف اللي ساعدني اليوم
